Villenave-d'Ornon;-0.5472574;44.7683428
Alouette France;-0.65965;44.793355
Soulac-sur-Mer;-1.1175894;45.5081769
Pauillac;-0.7551342;45.2038438
Macau;-0.6200068;45.0040981
Bengy;2.7492361;47.0004698
Lunery;2.275014;46.9351795
Villeherviers;1.7972555;47.3694005
Vierzon Forges;2.0994545;47.2099931
La Ferté-Imbault;1.9580537;47.3835442
Vivonne;0.2653156;46.4266355
Dissay;0.4210161;46.703544
Dangé-Saint-Romain;0.6087754;46.9378397
Les Ormes;0.6079476;46.9718269
Port-de-Piles;0.5989179;47.0102599
Sainte-Maure - Noyant;0.5769439;47.1112361
Poitiers;0.333241;46.582275
Saint-Aignan - Noyers;1.3838369;47.2869126
Chissay-en-Touraine;1.1333044;47.3349004
Vendôme;1.0678728;47.8021498
Noizay;0.8959456;47.4096869
Amboise;0.981299;47.42148
Chaingy Fourneaux Plage;1.782422;47.8770705
Port Boulet;0.155648;47.248836
Chinon;0.251538;47.163047
Courcay - Tauxigny;0.867867;47.2377076
Cormery;0.833953;47.26254
Esvres sur Indre;0.7816519;47.2841016
Aulnat Aéroport;3.1614332;45.7920571
Nevers le Banlay;3.1636746;47.0068974
Chemin d'Antony;2.3126207;48.748143
Rungis la Fraternelle;2.35298;48.74032
Bonneval;1.3861845;48.1862958
Dourdan;2.009643;48.533466
Breuillet - Bruyères-le-Châtel;2.191721;48.577228
Saint-Martin d'Étampes;2.145401;48.42747
Ivry-sur-Seine;2.39099;48.814371
Villeneuve-le-Roi;2.426084;48.739908
Monnerville;2.0320595;48.3484915
Lamotte-Beuvron;2.022499;47.593898
Saint-Cyr-en-Val la Source;1.9476045;47.8192
Artenay;1.8833705;48.0808761
Saint-André-de-Cubzac;-0.440479;44.991255
Gauriaguet;-0.3992689;45.0542936
Bussac;-0.3682457;45.211928
Montendre;-0.3961726;45.2805457
Jonzac;-0.44164;45.4387456
Taillebourg;-0.6451123;45.8305696
Pouzauges;-0.8146784;46.7523536
Cerizay;-0.6689931;46.8176878
Torfou;-1.1173797;47.0331153
La Mothe-Saint-Héray;-0.1298415;46.3807592
Fors;-0.4069449;46.2345203
Prin-Deyrançon;-0.6365007;46.2190177
La Verpillière;5.150866;45.6276
Saint-Quentin-Fallavier;5.099896;45.638109
Saint-Priest;4.934242;45.686659
Le Péage-de-Roussillon;4.795402;45.371797
Chasse-sur-Rhône;4.794843;45.58237
Givors;4.766086;45.584948
Écully la Demi-Lune;4.7795238;45.7657162
Loures - Barbazan;0.6104494;43.021075
Labarthe-Inard;0.8519176;43.1049687
Boussens;0.972543;43.179617
Cazères;1.083106;43.212834
Créteil Pompadour;2.4352763;48.7715403
Parsac - Gouzon;2.1744416;46.1986154
Belvès;1.0118831;44.7773978
Sarlat;1.220328;44.8770213
Le Buisson;0.9081756;44.84723
La Bachellerie;1.1601301;45.1511154
Niversac;0.8082195;45.1383083
Mussidan;0.354071;45.034329
Neuvic;0.4450162;45.0999632
Saint-Léon-sur-l'Isle;0.4923106;45.1233004
La Cave;0.628305;45.1839595
Bretenoux - Biars;1.8436871;44.9273692
Puybrun;1.7841548;44.9216335
Bétaille;1.7344108;44.9424281
Vayrac;1.7062871;44.9501471
Les Quatre-Routes;1.6439067;44.9974864
Terrasson;1.3004219;45.1357901
Gignac - Cressensac;1.4831648;45.0146074
Vigeois;1.5149455;45.3829467
Uzerche;1.5702735;45.4407088
Égletons;2.0651243;45.4023816
Montaignac-Saint-Hippolyte;1.9797531;45.3546898
Coussac-Bonneval;1.3110412;45.5076088
Saint-Junien;0.9004849;45.8813844
Verneuil-sur-Vienne;1.1126156;45.837848
Fromental;1.4324317;46.1715646
Eymoutiers Vassivière;1.7412237;45.7397876
Châteauneuf - Bujaleuf;1.6453027;45.759316
Saint-Denis-des-Murs;1.5514368;45.7889106
Aiguillon;0.3352388;44.2987224
Sainte-Bazeille;0.0931269;44.5326935
Penne;0.8029779;44.3799858
Saint-Loubès;-0.4333056;44.9224009
Saint-Seurin-sur-l'Isle;-0.0026606;45.0114075
Saint-Médard-de-Guizières;-0.0488253;45.0155723
Coutras;-0.13169;45.03661
Lalinde;0.7427811;44.8396152
Couze;0.7036282;44.836574
Saint-Antoine-de-Breuilh;0.15196;44.8466877
Lamothe-Montravel;0.0215683;44.8537384
Luxé;0.1094107;45.8873947
Roumazières-Loubert;0.5789743;45.8893483
La Réole;-0.03057;44.579742
Saint-Médard-d'Eyrans;-0.5057172;44.7168571
Labouheyre;-0.9209296;44.2106292
Biganos Facture;-0.96621;44.637384
Bruges;-0.609445;44.8870124
Pointe de Grave;-1.0658575;45.567067
Margaux;-0.6854145;45.0358307
Bordeaux Saint-Jean;-0.556697;44.825873
Villefranche-sur-Cher;1.768094;47.2948034
Mennetou-sur-Cher;1.8765238;47.2688835
La Guerche-sur-l'Aubois;2.9485731;46.9477388
Avord;2.6523757;47.0349061
Saint-Germain-du-Puy;2.4846102;47.0965233
Varennes-sur-Fouzon;1.6145221;47.2144095
Pruniers;1.6722045;47.313174
Faubourg d'Orléans;1.7403794;47.3669948
Mehun-sur-Yèvre;2.2071342;47.1394406
Lussac-les-Châteaux;0.7186918;46.4051106
Lathus;0.965009;46.3380917
La Tricherie;0.4412021;46.7288206
Château-Renault;0.9015238;47.5877961
Saint-Amand de Vendôme;1.0119896;47.693141
Bléré la Croix;0.9877583;47.3377228
Azay-sur-Cher;0.8599885;47.3652695
Véretz - Montlouis;0.8199079;47.3715058
Veuves - Monteaux;1.1238749;47.4756722
Menars;1.405617;47.6450036
Suèvres;1.4540981;47.6802248
Saint-Ay;1.7499597;47.863133
Blois - Chambord;1.323823;47.585445
Cinq-Mars-la-Pile;0.4604878;47.3452264
Rivarennes;0.3618999;47.2677425
Azay-le-Rideau;0.4475388;47.2663383
Pont de Rungis Aéroport d'Orly;2.372792;48.748163
Sermaise;2.06865;48.53536
Étréchy;2.194323;48.493727
Saujon;-0.9300187;45.6665019
Clion sur Seugne;-0.502092;45.4783225
Beillant;-0.5265079;45.7007999
Saint-Savinien;-0.6778775;45.8759277
Bords;-0.7985436;45.8944625
Saintes;-0.6179;45.74874
Les Rosiers-sur-Loire;-0.2205371;47.3625386
La Bohalle;-0.4000426;47.4342356
Saumur;-0.07136;47.269
Les Sables-d'Olonne;-1.78105;46.499917
Belleville-sur-Vie;-1.4346673;46.788316
L'Herbergement - Les Brouzils;-1.3712431;46.9069172
Lusignan;0.116555;46.4354949
Rouillé;0.042169;46.4190206
La Crèche;-0.2962081;46.3604181
Cessieu;5.3761179;45.5611596
Vénissieux;4.888109;45.705551
Lyon Part Dieu;4.859355;45.760559
Luchon;0.5964686;42.7972746
Longages - Noé;1.2519529;43.3563239
Limoux Flassian;2.2182832;43.0684511
Aubusson;2.1617231;45.9596691
Lavaufranche;2.2700972;46.3212869
Guéret;1.8793855;46.1741863
Chabenet;1.5076773;46.6265259
Luant;1.5901964;46.7357683
Sainte-Lizaigne;2.0298004;47.002251
Les Eyzies;1.0081942;44.9411916
Thenon;1.0686905;45.1601857
Limeyrat;0.9776842;45.1562615
Saint-Pierre-de-Chignac;0.856103;45.1234881
Périgueux Saint-Georges;0.7336349;45.1783328
Saint-Astier;0.522808;45.139027
Razac;0.5992849;45.1659287
Château-l'Évêque;0.6882106;45.2445887
Masseret;1.5415396;45.536175
Allassac;1.4731471;45.2589385
Lafarge;1.130859;45.6338338
Nexon;1.1784396;45.6915692
Saint-Sébastien;1.5466809;46.3859938
Saint-Germain-les-Belles;1.4800397;45.6098703
Solignac - Le Vigen;1.2856817;45.7561586
Saint-Léonard-de-Noblat;1.481686;45.8320199
Les Bardys;1.377389;45.9046873
Sauveterre-la-Lémance;1.0115419;44.5893893
Trentels Ladignac;0.8850548;44.4430308
Bergerac;0.489174;44.857061
Libourne;-0.236344;44.915888
Montmoreau;0.1380013;45.3982987
Lamothe-Landerron;0.0451406;44.5628433
Saint-Pierre-d'Aurillac;-0.1876216;44.5752452
Preignac;-0.3022296;44.5783064
Cérons;-0.340526;44.632346
Arbanats;-0.3954517;44.6743555
Portets;-0.4253931;44.6929765
La Teste;-1.14295;44.636924
Le Teich;-1.025556;44.632507
Ychoux;-0.9460318;44.3292659
Marcheprime;-0.85381;44.690543
Bègles;-0.5552495;44.7995389
Blanquefort;-0.62392;44.917556
Le Verdon;-1.0650925;45.5492065
Gièvres;1.6678267;47.2787925
Bigny;2.368638;46.8015763
Saint-Florent-sur-Cher;2.2525668;46.9921865
Bourges;2.394255;47.094145
Les Quatre Roues;1.7025282;47.3325521
Foëcy;2.1625062;47.1756905
Mignaloux - Nouaillé;0.4117391;46.5261427
Naintré les Barres;0.4963446;46.7595303
Châtellerault;0.549279;46.818594
Maillé;0.5830236;47.0533855
Monnaie;0.7932851;47.4987491
Pezou;1.1408714;47.8673364
Cloyes;1.2433542;47.9921032
Saint-Martin-le-Beau;0.9058418;47.3552058
Limeray;1.0499661;47.4502088
Onzain - Chaumont-sur-Loire;1.18595;47.492
Saint-Genouph;0.5969502;47.3710109
Langeais;0.410557;47.324114
Saint-Patrice;0.3096916;47.2855394
Loches;1.000467;47.130464
Reignac;0.9013322;47.2178494
Musée d'Orsay;2.325671;48.86079
Vitry-sur-Seine;2.402229;48.800768
Juvisy;2.38267;48.68917
Brétigny;2.302378;48.606683
La Chapelle-Saint-Mesmin;1.8268193;47.8929293
Theillay;2.0443867;47.3139904
Boulainvilliers;2.275149;48.85645
Nouan-le-Fuzelier;2.0330957;47.5337788
Boisseaux;1.9727681;48.2566238
Dourdan la Forêt;1.994908;48.535314
Mulhouse Musées;7.2984302;47.750185
Gallieni Cancéropôle;1.4195801;43.5730877
Les Ardoines;2.409046;48.782945
Châteauneuf-sur-Charente;-0.0502;45.599836
Loulay;-0.5017525;46.0435165
Sainte-Eulalie - Carbon-Blanc;-0.4939737;44.8978327
Cubzac-les-Ponts;-0.4590937;44.9729407
Saint-Mariens - Saint-Yzan;-0.3917824;45.139072
Thouars;-0.2097941;46.9852442
La Mothe-Achard;-1.6596359;46.6068648
La Rochelle;-1.145305;46.15269
Écouflant;-0.5194782;47.5039036
Angers Maître École;-0.531894;47.4670899
La Baule les Pins;-2.3648441;47.2835196
Issé;-1.45068;47.6268289
Montaigu;-1.316236;46.983705
Cugand;-1.253301;47.0582602
Gorges;-1.3058778;47.1001487
Le Pallet;-1.346898;47.143831
Challans;-1.871879;46.843962
Bouaye;-1.6810992;47.1380806
Ancenis;-1.177763;47.369334
Estressin;4.868273;45.540285
Feyzin;4.8531349;45.6658584
Vernaison;4.8132908;45.6456478
Cerbère;3.1634033;42.4417732
Mont-Louis - La Cabanasse;2.1131379;42.5020902
Banyuls-sur-Mer;3.1250496;42.4829582
Argelès-sur-Mer;3.022349;42.54397
Mende;3.5019875;44.522322
Barjac;3.4109786;44.4992638
Le Bruel;3.358325;44.4813286
Saint-Rome-de-Cernon;2.9673744;44.013981
Sévérac-le-Château;3.0569451;44.3246516
Campagnac - Saint-Geniez;3.0664008;44.4219559
Le Monastier;3.252057;44.5089682
Le Bousquet-d'Orb;3.1689379;43.6912097
Agde;3.466203;43.31728
Nissan;3.116678;43.2955681
Narbonne;3.00591;43.190387
Nozières - Brignon;4.2072916;43.9760134
Boucoiran;4.187634;43.9926943
Grand-Combe la Pise;4.0329591;44.2098159
La Bastide - Saint-Laurent-les-Bains;3.9042849;44.5934829
Gallargues;4.1715027;43.716229
Vergèze - Codognan;4.218842;43.739877
Nîmes;4.365845;43.832291
Frontignan;3.758689;43.444934
Montpellier Saint-Roch;3.880674;43.604738
Entraigues-sur-la-Sorgue;4.9226971;44.0054278
Cavaillon;5.043613;43.834554
